,Unnamed: 0,2022-06-03,2022-06-05
22,394,0.9424342105263158,0.9424342105263158
23,398,0.8955453149001537,0.8970814132104454
24,402,0.8765060240963856,0.8780120481927711
25,406,0.8420138888888888,0.8472222222222222
26,410,0.8549488054607508,0.8549488054607508
27,414,0.8574007220216606,0.8592057761732852
28,418,0.886676875957121,0.888208269525268
29,422,0.8821138211382114,0.8848238482384824
30,426,0.8970588235294118,0.8985294117647059
31,430,0.9001490312965723,0.9001490312965723
32,434,0.8557536466774717,0.8573743922204214
33,438,0.8384728340675477,0.8399412628487518
34,442,0.8585434173669467,0.8585434173669467
35,446,0.8719898605830165,0.8719898605830165
36,450,0.8308080808080808,0.8358585858585859
37,454,0.8650793650793651,0.8664021164021164
38,458,0.8460410557184751,0.8519061583577713
39,462,0.8205625606207565,0.8205625606207565
40,466,0.8223684210526315,0.8267543859649122
41,470,0.8456464379947229,0.8509234828496042
42,474,0.7881844380403458,0.7881844380403458
43,478,0.8276299112801014,0.8301647655259823
44,482,0.7856093979441997,0.788546255506608
45,486,0.8388214904679376,0.8440207972270364
46,490,0.8102466793168881,0.8121442125237192
47,494,0.7843915343915344,0.7870370370370371
48,498,0.7698072805139187,0.7730192719486081
49,502,0.7862531433361274,0.7870913663034367
50,506,0.8339529120198265,0.8351920693928129
51,510,0.7610419026047565,0.7644394110985278
52,514,0.7654155495978552,0.7654155495978552
53,518,0.7850678733031674,0.7873303167420814
54,522,0.7881773399014779,0.7906403940886699
55,526,0.7751824817518248,0.781021897810219
56,530,0.7544041450777202,0.7564766839378239
57,534,0.7330779054916986,0.735632183908046
58,538,0.7671451355661882,0.7703349282296651
59,542,0.6960431654676259,0.697841726618705
60,546,0.660655737704918,0.6622950819672131
61,550,0.6491228070175439,0.6526315789473685
62,554,0.6065891472868217,0.6124031007751938
63,558,0.6536458333333334,0.6536458333333334
64,562,0.6617954070981211,0.6638830897703549
65,566,0.6884681583476764,0.6884681583476764
66,570,0.6834677419354839,0.6895161290322581
67,574,0.7161654135338346,0.7218045112781954
68,578,0.6621848739495798,0.6672268907563025
69,582,0.6711798839458414,0.6808510638297872
70,586,0.6293103448275862,0.6307471264367817
71,590,0.616580310880829,0.6183074265975821
72,594,0.5717439293598234,0.5805739514348786
73,598,0.6183745583038869,0.6254416961130742
74,602,0.6323809523809524,0.6361904761904762
75,606,0.6105263157894737,0.6150375939849624
76,610,0.5925925925925926,0.5961199294532628
77,614,0.577570093457944,0.5850467289719626
78,618,0.5544933078393881,0.5717017208413002
79,622,0.5531914893617021,0.5585106382978723
80,626,0.5868102288021534,0.5921938088829072
81,630,0.592814371257485,0.6002994011976048
82,634,0.5549348230912476,0.5586592178770949
83,638,0.53125,0.53875
84,642,0.5745098039215686,0.5784313725490197
85,646,0.5989847715736041,0.61082910321489
86,650,0.5636070853462157,0.5636070853462157
87,654,0.5626477541371159,0.5768321513002365
88,658,0.6646058732612056,0.6692426584234931
89,662,0.6131045241809673,0.6193447737909517
90,666,0.6068840579710145,0.6086956521739131
91,670,0.6104477611940299,0.6253731343283582
92,674,0.612012987012987,0.6217532467532467
93,678,0.6243478260869565,0.6313043478260869
94,682,0.6039933444259568,0.6139767054908486
95,686,0.5505226480836237,0.5662020905923345
96,690,0.5722222222222222,0.5796296296296296
97,694,0.5115131578947368,0.5148026315789473
98,698,0.4442105263157895,0.45263157894736844
99,702,0.5066445182724253,0.5166112956810631
100,706,0.5340136054421769,0.5425170068027211
101,710,0.518664047151277,0.5225933202357563
102,714,0.4705882352941176,0.48606811145510836
103,718,0.4925373134328358,0.49850746268656715
104,722,0.5373352855051244,0.5431918008784773
105,726,0.4370860927152318,0.4503311258278146
106,729,0.4730113636363636,0.4900568181818182
107,733,0.5287769784172662,0.539568345323741
108,737,0.4832451499118165,0.48853615520282184
109,741,0.513595166163142,0.513595166163142
110,745,0.4246771879483501,0.42898134863701576
111,749,0.5074404761904762,0.5119047619047619
112,753,0.4838187702265372,0.4854368932038835
113,757,0.380327868852459,0.38524590163934425
114,761,0.3696763202725724,0.3730834752981261
115,765,0.3680672268907563,0.3815126050420168
116,769,0.4100185528756957,0.4155844155844156
117,773,0.3682634730538922,0.3712574850299401
118,777,0.3569078947368421,0.35855263157894735
119,781,0.323397913561848,0.33383010432190763
120,785,0.3376623376623376,0.3395176252319109
121,789,0.3697749196141479,0.36977491961414793
122,793,0.3225225225225225,0.3225225225225225
123,797,0.3322475570032573,0.33876221498371334
124,801,0.3147286821705426,0.32248062015503876
125,805,0.3333333333333333,0.33707865168539325
126,809,0.2397260273972602,0.24143835616438356
127,813,0.1788491446345256,0.18818040435458788
128,817,0.2011173184357542,0.2011173184357542
129,820,0.199623352165725,0.2015065913370998
130,824,0.2080443828016643,0.20943134535367544
131,827,0.1769759450171821,0.17869415807560138
132,831,0.207070707070707,0.20875420875420875
133,834,0.1756548536209553,0.17873651771956856
134,838,0.1978021978021978,0.19917582417582416
135,842,0.1701754385964912,0.17017543859649123
136,846,0.1304347826086956,0.13306982872200263
137,850,0.1104734576757532,0.11047345767575323
138,854,0.1312949640287769,0.13309352517985612
139,858,0.106457242582897,0.10645724258289703
140,862,0.0895316804407713,0.09228650137741047
141,865,0.0566280566280566,0.059202059202059204
142,868,0.0814917127071823,0.0856353591160221
143,871,0.0953846153846153,0.09846153846153846
144,873,0.0682539682539682,0.07777777777777778
145,876,0.0591054313099041,0.0608
146,879,0.0243445692883895,0.028037383177570093
147,880,0.0064935064935064,0.014586709886547812
